iter	Passed	Remaining
0	89	80254
1	176	79202
2	269	80565
3	465	104331
4	606	108578
5	711	106079
6	816	104173
7	914	101914
8	1006	99660
9	1091	97100
10	1147	92699
11	1237	91606
12	1326	90527
13	1428	90428
14	1576	93000
15	1687	93228
16	1792	93117
17	1891	92661
18	1977	91675
19	2070	91100
20	2164	90579
21	2250	89822
22	2330	88865
23	2422	88433
24	2515	88040
25	2610	87768
26	2702	87385
27	2804	87344
28	2908	87345
29	3023	87685
30	3124	87588
31	3225	87501
32	3307	86896
33	3394	86463
34	3477	85953
35	3590	86172
36	3694	86171
37	3799	86193
38	3897	86052
39	4014	86309
40	4110	86126
41	4226	86338
42	4319	86084
43	4417	85941
44	4505	85606
45	4586	85154
46	4676	84878
47	4772	84717
48	4872	84630
49	4972	84526
50	5077	84521
51	5162	84192
52	5257	84023
53	5363	84022
54	5463	83937
55	5567	83915
56	5667	83813
57	5765	83700
58	5869	83658
59	5968	83558
60	6062	83389
61	6161	83274
62	6270	83302
63	6381	83353
64	6479	83239
65	6568	83005
66	6655	82751
67	6758	82688
68	6845	82449
69	6949	82406
70	7051	82338
71	7153	82264
72	7246	82096
73	7357	82125
74	7459	82050
75	7565	82022
76	7670	81985
77	7778	81971
78	7882	81918
79	7987	81869
80	8082	81723
81	8177	81574
82	8278	81489
83	8377	81378
84	8480	81312
85	8574	81157
86	8663	80958
87	8757	80809
88	8851	80655
89	8935	80420
90	9017	80170
91	9108	79993
92	9192	79768
93	9294	79691
94	9401	79667
95	9505	79608
96	9610	79560
97	9722	79565
98	9819	79450
99	9935	79485
100	10051	79514
101	10167	79543
102	10290	79627
103	10396	79576
104	10503	79527
105	10633	79649
106	10753	79694
107	10860	79643
108	10974	79637
109	11082	79594
110	11192	79558
111	11297	79486
112	11401	79407
113	11501	79296
114	11611	79259
115	11711	79155
116	11813	79056
117	11902	78876
118	11992	78704
119	12077	78506
120	12174	78380
121	12265	78219
122	12361	78086
123	12452	77928
124	12558	77860
125	12676	77870
126	12800	77911
127	12900	77808
128	13007	77742
129	13127	77755
130	13232	77675
131	13336	77595
132	13450	77569
133	13543	77422
134	13630	77240
135	13712	77034
136	13810	76918
137	13902	76764
138	13994	76619
139	14077	76419
140	14166	76257
141	14260	76122
142	14358	76007
143	14547	76373
144	14654	76306
145	14755	76200
146	14851	76075
147	14948	75955
148	15044	75829
149	15140	75703
150	15236	75576
151	15330	75441
152	15407	75226
153	15505	75110
154	15609	75027
155	15712	74935
156	15834	74936
157	15941	74865
158	16045	74776
159	16136	74633
160	16234	74516
161	16332	74403
162	16431	74295
163	16551	74281
164	16664	74232
165	16769	74147
166	16893	74149
167	16983	73999
168	17069	73831
169	17166	73713
170	17288	73704
171	17392	73615
172	17493	73513
173	17587	73380
174	17680	73246
175	17776	73126
176	17876	73019
177	17961	72854
178	18048	72698
179	18139	72559
180	18242	72467
181	18352	72402
182	18447	72279
183	18562	72232
184	18645	72063
185	18752	71985
186	18845	71853
187	18947	71757
188	19039	71626
189	19125	71469
190	19206	71295
191	19292	71142
192	19383	71007
193	19486	70914
194	19576	70775
195	19678	70682
196	19785	70606
197	19896	70541
198	19990	70419
199	20080	70280
200	20162	70116
201	20248	69966
202	20341	69841
203	20447	69763
204	20541	69639
205	20633	69512
206	20731	69404
207	20823	69276
208	20915	69150
209	21018	69059
210	21114	68946
211	21208	68828
212	21303	68712
213	21394	68582
214	21489	68465
215	21573	68315
216	21658	68169
217	21751	68049
218	21838	67907
219	21930	67784
220	22025	67671
221	22118	67551
222	22210	67428
223	22295	67284
224	22390	67171
225	22514	67144
226	22606	67023
227	22695	66893
228	22790	66777
229	22888	66676
230	22976	66541
231	23057	66388
232	23161	66303
233	23254	66185
234	23342	66054
235	23438	65945
236	23525	65812
237	23623	65708
238	23721	65607
239	23813	65486
240	23906	65372
241	23995	65242
242	24078	65100
243	24160	64956
244	24244	64816
245	24328	64678
246	24419	64557
247	24503	64421
248	24595	64304
249	24678	64163
250	24769	64046
251	24863	63935
252	24977	63874
253	25078	63782
254	25182	63698
255	25290	63622
256	25384	63511
257	25475	63392
258	25561	63263
259	25661	63166
260	25755	63056
261	25850	62948
262	25949	62851
263	26038	62728
264	26135	62627
265	26231	62522
266	26315	62388
267	26413	62289
268	26505	62173
269	26600	62067
270	26700	61971
271	26824	61934
272	26928	61846
273	27045	61789
274	27135	61672
275	27231	61566
276	27322	61451
277	27412	61332
278	27499	61209
279	27587	61086
280	27685	60987
281	27780	60880
282	27870	60763
283	27959	60644
284	28045	60520
285	28142	60417
286	28231	60300
287	28336	60214
288	28569	60401
289	28672	60310
290	28776	60222
291	28898	60172
292	29013	60106
293	29140	60065
294	29251	59991
295	29365	59921
296	29496	59886
297	29596	59788
298	29698	59695
299	29812	59624
300	29919	59540
301	30015	59435
302	30100	59307
303	30200	59209
304	30309	59128
305	30401	59015
306	30503	58919
307	30583	58783
308	30676	58672
309	30772	58567
310	30869	58463
311	30953	58335
312	31048	58228
313	31144	58122
314	31253	58041
315	31344	57928
316	31437	57817
317	31537	57719
318	31638	57623
319	31730	57511
320	31813	57382
321	31904	57269
322	31989	57146
323	32086	57041
324	32178	56930
325	32260	56802
326	32343	56675
327	32424	56546
328	32514	56430
329	32603	56314
330	32700	56213
331	32788	56096
332	32877	55981
333	32987	55901
334	33103	55831
335	33196	55723
336	33288	55613
337	33381	55504
338	33480	55405
339	33569	55291
340	33653	55167
341	33747	55062
342	33846	54963
343	33927	54836
344	34030	54745
345	34119	54631
346	34218	54533
347	34305	54416
348	34392	54298
349	34488	54196
350	34584	54093
351	34680	53991
352	34766	53873
353	34860	53767
354	34953	53661
355	35052	53563
356	35145	53455
357	35226	53331
358	35318	53223
359	35409	53114
360	35498	53001
361	35588	52890
362	35679	52781
363	35775	52680
364	35890	52606
365	35990	52510
366	36079	52399
367	36174	52295
368	36272	52196
369	36360	52083
370	36449	51972
371	36546	51872
372	36635	51761
373	36724	51649
374	36818	51546
375	36913	51443
376	37011	51344
377	37104	51239
378	37190	51124
379	37283	51019
380	37373	50910
381	37457	50793
382	37556	50696
383	37652	50595
384	37759	50509
385	37871	50430
386	37984	50352
387	38084	50255
388	38174	50147
389	38296	50079
390	38394	49981
391	38500	49893
392	38589	49783
393	38684	49681
394	38793	49597
395	38900	49509
396	39002	49415
397	39100	49317
398	39203	49224
399	39307	49134
400	39414	49046
401	39516	48952
402	39635	48881
403	39731	48778
404	39825	48675
405	39949	48607
406	40070	48537
407	40230	48513
408	40616	48760
409	41107	49128
410	41337	49182
411	41590	49262
412	41767	49251
413	41878	49162
414	42014	49100
415	42126	49012
416	42245	48931
417	42342	48825
418	42444	48724
419	42582	48665
420	42756	48646
421	42885	48576
422	42986	48474
423	43079	48363
424	43183	48263
425	43284	48162
426	43380	48053
427	43479	47949
428	43582	47849
429	43683	47746
430	43816	47679
431	43911	47570
432	44017	47473
433	44108	47360
434	44217	47266
435	44319	47165
436	44415	47058
437	44504	46942
438	44617	46853
439	44714	46747
440	44817	46646
441	44924	46550
442	45028	46451
443	45130	46350
444	45234	46250
445	45338	46151
446	45425	46035
447	45514	45920
448	45608	45811
449	45704	45704
450	45807	45604
451	45898	45491
452	45988	45379
453	46098	45285
454	46189	45173
455	46283	45065
456	46379	44958
457	46468	44845
458	46563	44737
459	46671	44642
460	46759	44528
461	46867	44432
462	46977	44339
463	47100	44258
464	47231	44183
465	47352	44100
466	47462	44007
467	47554	43896
468	47655	43794
469	47753	43689
470	47856	43588
471	47953	43482
472	48056	43382
473	48179	43300
474	48333	43245
475	48450	43157
476	48592	43091
477	48719	43012
478	48868	42951
479	49122	42982
480	49295	42941
481	49491	42919
482	49632	42850
483	49840	42838
484	50003	42786
485	50156	42726
486	50322	42676
487	50515	42648
488	50684	42600
489	50818	42521
490	50957	42447
491	51095	42372
492	51215	42281
493	51348	42201
494	51534	42164
495	51648	42068
496	51768	41977
497	51893	41890
498	52020	41804
499	52167	41733
500	52285	41640
501	52434	41571
502	52560	41483
503	52662	41377
504	52784	41286
505	52893	41185
506	53015	41095
507	53147	41011
508	53256	40910
509	53380	40820
510	53481	40712
511	53612	40627
512	53731	40533
513	53846	40437
514	53961	40340
515	54078	40244
516	54194	40148
517	54295	40040
518	54405	39939
519	54504	39830
520	54623	39735
521	54725	39628
522	54826	39521
523	54925	39412
524	55036	39311
525	55176	39231
526	55308	39145
527	55405	39035
528	55536	38948
529	55662	38858
530	55789	38768
531	55901	38668
532	56009	38565
533	56132	38472
534	56239	38369
535	56334	38257
536	56455	38162
537	56557	38055
538	56672	37957
539	56783	37855
540	56904	37760
541	57022	37664
542	57131	37561
543	57247	37463
544	57380	37376
545	57498	37279
546	57646	37201
547	57774	37110
548	57890	37011
549	58001	36910
550	58119	36812
551	58239	36716
552	58345	36610
553	58461	36511
554	58585	36417
555	58684	36308
556	58797	36207
557	58899	36099
558	59014	36000
559	59116	35892
560	59238	35796
561	59338	35687
562	59460	35591
563	59565	35486
564	59671	35380
565	59778	35275
566	59891	35174
567	59986	35062
568	60096	34959
569	60205	34856
570	60311	34750
571	60431	34653
572	60527	34542
573	60637	34438
574	60738	34330
575	60843	34224
576	60947	34117
577	61074	34024
578	61182	33919
579	61295	33818
580	61396	33710
581	61505	33606
582	61595	33492
583	61702	33386
584	61823	33289
585	61921	33179
586	62025	33073
587	62130	32966
588	62235	32861
589	62407	32790
590	62585	32722
591	62691	32616
592	62805	32514
593	62935	32421
594	63041	32315
595	63158	32215
596	63262	32108
597	63372	32003
598	63473	31895
599	63570	31785
600	63676	31679
601	63798	31581
602	63902	31474
603	63997	31362
604	64103	31257
605	64203	31148
606	64331	31053
607	64448	30952
608	64558	30848
609	64673	30746
610	64799	30649
611	64908	30544
612	65064	30462
613	65232	30385
614	65332	30275
615	65430	30165
