iter	Passed	Remaining
0	76	614820
1	156	626437
2	238	635625
3	322	645450
4	398	636772
5	465	620630
6	536	612630
7	607	607305
8	676	600238
9	739	590571
10	806	585810
11	875	582684
12	941	578655
13	1014	578518
14	1081	575665
15	1150	574092
16	1216	571398
17	1288	571365
18	1357	570316
19	1423	568082
20	1492	567206
21	1557	564831
22	1624	563279
23	1691	562274
24	1760	561628
25	1832	561959
26	1904	562461
27	1972	561584
28	2039	560631
29	2107	559953
30	2177	559709
31	2244	558974
32	2322	560649
33	2387	559363
34	2455	558816
35	2525	558680
36	2593	558135
37	2665	558477
38	2738	559033
39	2805	558314
40	2868	556857
41	2941	557285
42	3009	556946
43	3076	556241
44	3144	555965
45	3210	555193
46	3277	554653
47	3344	554034
48	3410	553446
49	3482	553731
50	3550	553331
51	3616	552702
52	3688	553138
53	3752	552156
54	3822	552110
55	3889	551799
56	3959	551815
57	4025	551271
58	4092	550849
59	4163	550943
60	4230	550641
61	4304	551086
62	4376	551383
63	4442	550859
64	4509	550476
65	4576	550161
66	4645	550078
67	4713	549840
68	4782	549696
69	4850	549493
70	4915	548924
71	4979	548323
72	5043	547628
73	5110	547376
74	5183	547746
75	5250	547407
76	5318	547258
77	5388	547236
78	5457	547172
79	5526	547096
80	5597	547202
81	5660	546584
82	5727	546323
83	5792	545920
84	5860	545742
85	5926	545347
86	5995	545300
87	6061	545005
88	6133	545163
89	6201	545025
90	6269	544899
91	6336	544623
92	6405	544620
93	6465	543763
94	6533	543663
95	6605	543884
96	6676	543978
97	6748	544116
98	6818	544175
99	6883	543829
100	6957	544144
101	7026	544069
102	7094	543923
103	7160	543659
104	7225	543308
105	7290	542945
106	7358	542802
107	7422	542365
108	7488	542132
109	7551	541630
110	7619	541503
111	7683	541144
112	7752	541118
113	7824	541246
114	7892	541141
115	7958	540932
116	8022	540524
117	8087	540241
118	8156	540185
119	8219	539754
120	8282	539290
121	8348	539096
122	8424	539483
123	8489	539233
124	8558	539214
125	8628	539213
126	8692	538861
127	8761	538862
128	8834	539022
129	8903	538976
130	8974	539102
131	9043	539075
132	9107	538712
133	9174	538566
134	9254	539171
135	9337	539919
136	9417	540516
137	9493	540843
138	9570	541226
139	9642	541357
140	9719	541721
141	9796	542144
142	9873	542486
143	9947	542716
144	10017	542691
145	10079	542228
146	10148	542154
147	10216	542044
148	10282	541772
149	10348	541583
150	10418	541560
151	10486	541424
152	10561	541680
153	10635	541833
154	10701	541616
155	10774	541739
156	10844	541728
157	10911	541571
158	10976	541286
159	11044	541179
160	11112	541064
161	11188	541309
162	11258	541295
163	11326	541196
164	11396	541166
165	11462	540965
166	11525	540594
167	11590	540319
168	11657	540179
169	11727	540165
170	11793	539938
171	11856	539610
172	11919	539290
173	11982	538941
174	12045	538590
175	12116	538613
176	12191	538836
177	12257	538644
178	12321	538377
179	12390	538314
180	12457	538145
181	12527	538123
182	12597	538119
183	12660	537812
184	12726	537590
185	12789	537306
186	12855	537114
187	12926	537143
188	12994	537041
189	13057	536712
190	13127	536734
191	13191	536465
192	13258	536317
193	13326	536216
194	13392	536023
195	13460	535932
196	13527	535794
197	13591	535560
198	13656	535353
199	13722	535167
200	13794	535242
201	13863	535177
202	13939	535390
203	14005	535219
204	14075	535223
205	14142	535091
206	14209	534967
207	14281	535024
208	14347	534849
209	14413	534655
210	14482	534619
211	14547	534426
212	14613	534243
213	14680	534130
214	14748	534018
215	14816	533942
216	14876	533582
217	14943	533439
218	15014	533475
